"","GENDER","EDU_FATHER","EDU_MOTHER","OCC_FATHER","OCC_MOTHER","STRATUM","PEOPLE_HOUSE","COMPUTER","CAR","MOBILE","UNIVERSITY","OVERALL_SCORE"
"3335",0,"Complete Secondary Education","Incomplete Secondary Education","Operator","Home","1","3",0,0,0,"2",225
"3336",1,"Complete Secondary Education","Postgraduate Education","Other occupation","Technical or professional level employee","1","5",1,0,0,"2",168
"3337",1,"Unknown","Complete Primary Education","0","0","3","4",0,0,0,"4",282
"3338",1,"Incomplete Secondary Education","Incomplete Secondary Education","Independent","Home","3","8",1,0,0,"2",148
"3339",0,"Complete Secondary Education","Incomplete Primary Education","Operator","Auxiliary or Administrative","1","2",0,0,0,"2",56
"3340",0,"Complete Secondary Education","Complete Secondary Education","Other occupation","Home","1","3",1,0,0,"2",262
"3341",0,"Complete Secondary Education","Complete Secondary Education","Operator","Operator","2","4",1,0,0,"2",131
"3342",1,"Complete Professional Education","Incomplete Technical Education","Operator","Small entrepreneur ","2","4",0,0,0,"2",353
"3343",1,"Incomplete Secondary Education","Incomplete Secondary Education","Independent professional","Home","1","4",0,0,0,"2",306
"3344",0,"Complete Technical Education","Complete Secondary Education","Operator","Home","1","4",0,0,0,"2",136
"3345",1,"Complete Primary Education","Complete Secondary Education","Independent","Independent","1","4",0,0,0,"2",272
"3346",1,"Complete Secondary Education","Complete Secondary Education","Independent","Home","1","5",1,0,1,"2",249
"3347",1,"Complete Secondary Education","Complete Primary Education","Operator","Home","1","4",0,0,0,"2",287
"3348",1,"Complete Secondary Education","Complete Secondary Education","Small entrepreneur ","Executive","2","4",1,1,1,"2",185
"3349",1,"Unknown","Unknown","0","0","1","4",0,0,1,"2",164
"3350",1,"Incomplete Secondary Education","Incomplete Secondary Education","Independent","Home","2","3",0,0,1,"2",131
"3351",0,"Incomplete Primary Education","Incomplete Primary Education","Operator","Home","1","8",1,0,0,"2",113
"3352",1,"Complete Technical Education","Complete Secondary Education","Home","Retired","1","4",1,0,0,"2",141
"3353",0,"Postgraduate Education","Complete Technical Education","Technical or professional level employee","Home","3","5",1,0,1,"2",153
"3354",1,"Complete Professional Education","Complete Secondary Education","Executive","Home","3","6",1,1,1,"3",276
"3355",1,"Incomplete Primary Education","Complete Primary Education","Operator","Home","1","4",0,1,0,"2",309
"3356",0,"Incomplete Technical Education","Complete Secondary Education","Technical or professional level employee","Other occupation","2","4",0,0,0,"2",243
"3357",1,"Complete Primary Education","Complete Secondary Education","Operator","Home","3","4",0,0,0,"2",383
"3358",0,"Unknown","Unknown","0","Home","2","4",0,0,0,"2",187
"3359",0,"Complete Professional Education","Complete Professional Education","Independent","Small entrepreneur ","4","3",1,0,1,"4",410
"3360",0,"Unknown","Complete Technical Education","Independent","Home","2","6",0,0,0,"4",387
"3361",1,"Complete Professional Education","Complete Professional Education","Independent professional","Home","3","5",1,0,1,"4",340
"3362",0,"Complete Professional Education","Incomplete Professional Education","Technical or professional level employee","Independent","3","4",1,0,1,"4",340
"3363",1,"Complete Professional Education","Complete Secondary Education","Other occupation","Home","2","5",1,1,1,"2",317
"3364",1,"Complete Primary Education","Complete Secondary Education","Other occupation","Small entrepreneur ","1","5",1,1,1,"2",197
"3365",1,"Complete Secondary Education","Complete Secondary Education","Other occupation","Other occupation","1","4",1,0,1,"2",278
"3366",1,"Unknown","Unknown","0","Home","1","4",0,0,1,"2",217
"3367",0,"Complete Secondary Education","Complete Professional Education","Other occupation","Independent","2","4",1,0,0,"4",120
"3368",1,"Unknown","Unknown","Operator","Auxiliary or Administrative","4","7",1,0,1,"4",282
"3369",1,"Complete Professional Education","Complete Professional Education","Entrepreneur ","Executive","4","5",1,0,1,"2",377
"3370",1,"Unknown","Unknown","0","0","4","8",0,0,1,"4",414
"3371",1,"Complete Professional Education","Complete Professional Education","Executive","Independent professional","3","4",1,1,1,"3",316
"3372",0,"Complete Secondary Education","Complete Secondary Education","Other occupation","Other occupation","3","9",0,0,1,"2",347
"3373",1,"Complete Secondary Education","Incomplete Technical Education","Independent","Home","2","5",1,1,1,"4",125
"3374",0,"Complete Secondary Education","Complete Technical Education","Other occupation","Other occupation","2","5",0,0,1,"4",128
"3375",0,"Complete Primary Education","Complete Professional Education","Independent","Home","2","6",0,0,0,"3",394
"3376",1,"Complete Primary Education","Complete Primary Education","0","0","1","8",0,0,1,"2",247
"3377",1,"Complete Secondary Education","Complete Secondary Education","Small entrepreneur ","Technical or professional level employee","2","4",1,1,1,"2",334
"3378",1,"Complete Primary Education","Complete Primary Education","Other occupation","Home","2","4",1,0,1,"4",306
"3379",0,"Complete Professional Education","Complete Professional Education","Independent professional","Technical or professional level employee","3","4",1,1,1,"3",259
"3380",0,"Complete Technical Education","Complete Technical Education","Independent","Technical or professional level employee","3","6",1,1,1,"4",453
"3381",1,"Complete Professional Education","Postgraduate Education","Entrepreneur ","Entrepreneur ","5","3",1,1,1,"4",259
"3382",0,"Incomplete Primary Education","Complete Technical Education","Independent","Home","4","3",1,1,0,"4",411
